"entrezgene_id" "external_gene_name"
100249926 "VIT_06s0061g01020"
100267479 "LOC100267479"
100248954 "VITISV_036372"
100246533 "VIT_04s0044g01970"
100249809 "VIT_09s0002g08120"
100259614 "VIT_14s0060g02400"
100257435 "VIT_18s0001g05790"
100257676 "ACO1_2"
100260960 "VIT_01s0150g00400"
100247992 "LOC100247992"
100266010 "LOC100266010"
100266013 "LOC100266013"
100242068 "VIT_04s0023g02420"
100267586 "LOC100267586"
100249816 "LOC100249816"
100266012 "nsa2_0"
100267346 "VIT_01s0026g01660"
100244003 "RIOK1_0"
100248963 "VIT_18s0001g12950"
100246786 "VIT_06s0004g08220"
100247519 "LOC100247519"
100253193 "PCO4_1"
100255250 "VvCHDp000515_3"
100255493 "VIT_07s0005g01100"
100257402 "GSTZ_3"
100257400 "VIT_12s0028g03780"
100256310 "VIT_18s0117g00320"
100255469 "VIT_03s0063g00360"
100256799 "VIT_00s0181g00240"
104882578 "VIT_18s0001g14330"
100264180 "LOC100264180"
100246750 "VIT_14s0006g02020"
100258619 "LOC100258619"
100259709 "LOC100259709"
100265034 "VIT_15s0021g02450"
100243365 "VIT_14s0036g00570"
100246999 "LOC100246999"
100266124 "LOC100266124"
100244694 "VIT_09s0002g01740"
100265159 "VIT_03s0091g00670"
100265039 "VIT_15s0021g02200"
100246753 "LOC100246753"
100233110 "VIT_03s0038g01440"
100252191 "LOC100252191"
100254251 "LOC100254251"
100253054 "VIT_11s0052g00600"
100257653 "LOC100257653"
104879291 "LSH3_4"
100253058 "VIT_11s0052g00170"
100257537 "LOC100257537"
104880167 "VIT_08s0007g00830"
100246760 "LOC100246760"
100266471 "LOC100266471"
100264293 "VIT_02s0012g01630"
100244469 "LOC100244469"
100266355 "LOC100266355"
100245794 "VIT_12s0035g00250"
100247972 "VIT_13s0019g04410"
100244343 "VIT_08s0007g01710"
100246765 "VIT_17s0000g06860"
100245312 "VIT_08s0007g08840"
100247732 "LOC100247732"
100247739 "LOC100247739"
100260935 "LOC100260935"
100254113 "VIT_01s0146g00250"
100254594 "VIT_14s0060g02640"
100257625 "LOC100257625"
100256414 "VIT_02s0025g02400"
100254356 "VIT_04s0008g07000"
100255325 "LOC100255325"
100254239 "NAC021_0"
100243465 "VIT_10s0003g02700"
100248914 "LOC100248914"
100246736 "LOC100246736"
100243584 "VIT_19s0090g01430"
100265014 "VIT_04s0023g01750"
100264047 "LOC100264047"
100244432 "VIT_13s0019g04370"
100243466 "LOC100243466"
100245401 "LOC100245401"
100243103 "VIT_08s0040g01600"
100266108 "LOC100266108"
100244318 "LOC100244318"
100253141 "LOC100253141"
100246618 "VIT_08s0058g01290"
100254244 "LOC100254244"
104880384 "VIT_09s0018g01910"
100256546 "VIT_04s0023g01530"
100256424 "LOC100256424"
100242383 "LOC100242383"
100264393 "LOC100264393"
100263076 "LOC100263076"
100245655 "VIT_17s0000g00200"
100263194 "LOC100263194"
100264276 "LOC100264276"
100267422 "LOC100267422"
100245893 "VIT_08s0007g03400"
100265246 "VIT_09s0002g00830"
100264036 "VIT_19s0014g00550"
100243238 "CAS_3"
100265488 "LOC100265488"
100260919 "LOC100260919"
100253152 "VIT_16s0050g00480"
100255300 "LOC100255300"
100258813 "VIT_17s0000g07600"
100256996 "VIT_06s0004g06030"
100257727 "VIT_07s0031g01240"
100262074 "VIT_06s0004g01810"
100262194 "LOC100262194"
100267652 "LOC100267652"
100265473 "LOC100265473"
100247921 "LOC100247921"
100244655 "VIT_07s0005g03010"
100244414 "LOC100244414"
100242352 "VIT_01s0011g02040"
100266325 "VIT_17s0000g04770"
100265235 "VIT_03s0088g01150"
