"entrezgene_id" "external_gene_name"
100252010 "PNSB2_0"
100252493 "NAGK"
100254672 "LOC100254672"
100253463 "VIT_01s0026g00640"
100249080 "VIT_12s0035g00270"
100256975 "VIT_17s0000g05370"
104882510 "VIT_18s0001g08360"
100263146 "VIT_05s0020g00400"
100262295 "LOC100262295"
100257708 "LOC100257708"
100266662 "VIT_07s0104g00510"
100264363 "LOC100264363"
100244754 "VIT_12s0059g00450"
100264365 "LOC100264365"
100242450 "VIT_04s0008g03240"
100267754 "VIT_15s0024g00390"
100244992 "VIT_08s0056g00780"
100243785 "VIT_18s0001g08530"
100241245 "VIT_14s0083g00850"
100267517 "LOC100267517"
100267516 "LOC100267516"
100852976 "LOC100852976"
100244517 "LOC100244517"
100852851 "LOC100852851"
100243309 "LOC100243309"
100255531 "ROC5_2"
100252023 "FTIP1_14"
100254204 "VIT_11s0016g03540"
100256746 "LOC100256746"
100256625 "CCB1_0"
100232991 "VIT_07s0104g01730"
100232990 "VIT_14s0083g00110"
100252266 "LOC100252266"
100253115 "VIT_06s0009g01740"
100251059 "VIT_05s0049g01280"
100263279 "LOC100263279"
100257838 "VIT_07s0129g00350"
100242222 "VIT_14s0171g00300"
100245970 "BRG1"
100245850 "VIT_11s0016g02640"
100264357 "VIT_18s0001g12340"
100241139 "LOC100241139"
100252351 "VIT_12s0028g01350"
100250173 "LOC100250173"
100249060 "LOC100249060"
100251024 "VIT_05s0049g01500"
100263245 "VIT_18s0122g00290"
100255868 "LOC100255868"
100263360 "LOC100263360"
100242793 "VIT_18s0122g00620"
100245821 "LOC100245821"
100244975 "LOC100244975"
100241461 "VITISV_043754"
100264585 "LOC100264585"
100241466 "LOC100241466"
100241224 "LOC100241224"
100266401 "VIT_12s0035g00910"
100265797 "VIT_08s0007g07600"
100263499 "VIT_09s0002g02410"
100243400 "LOC100243400"
100266645 "LOC100266645"
100243649 "LOC100243649"
100267978 "LOC100267978"
100264108 "VIT_08s0007g07200"
100243888 "LOC100243888"
100853965 "LOC100853965"
100245706 "LOC100245706"
100252241 "VIT_18s0001g14450"
100253692 "LOC100253692"
100251032 "VIT_08s0007g03390"
100852880 "VIT_04s0023g02990"
100250065 "LOC100250065"
100253455 "VIT_12s0059g01180"
100255998 "VIT_04s0008g04250"
100252244 "VIT_18s0001g15360"
100254429 "LOC100254429"
100262043 "VIT_17s0000g08070"
100262041 "LOC100262041"
100242562 "VIT_07s0141g00260"
100244502 "VIT_11s0052g01800"
100265301 "VIT_07s0005g03910"
100243532 "LOC100243532"
100264578 "VIT_17s0000g03500"
100245839 "LOC100245839"
100243417 "VIT_10s0003g00130"
100242328 "LOC100242328"
100246809 "LOC100246809"
100243415 "VIT_07s0005g02540"
100244869 "VIT_13s0106g00380"
100854700 "VIT_19s0177g00280"
100244506 "VIT_15s0021g00460"
100854941 "LOC100854941"
100250030 "LOC100250030"
100263109 "GSVIVT00023634001"
100252693 "VIT_16s0013g01510"
100252451 "LOC100252451"
100249160 "VIT_07s0031g02030"
100255844 "VIT_18s0001g10550"
100253302 "LOC100253302"
100252458 "LOC100252458"
100262014 "VIT_15s0046g02130"
100251007 "LOC100251007"
100261165 "LOC100261165"
100251009 "LOC100251009"
100261162 "VIT_16s0022g01420"
100256939 "VIT_06s0004g07020"
100254639 "VIT_14s0128g00050"
100264680 "VIT_04s0008g02750"
100244952 "LOC100244952"
100242891 "VIT_09s0002g02110"
100241680 "LOC100241680"
100264683 "VIT_07s0031g00120"
100265410 "VIT_00s0181g00230"
100245801 "CKX7_0"
100263597 "VIT_01s0026g01930"
100265415 "LOC100265415"
100266746 "LOC100266746"
100267717 "LOC100267717"
100252460 "VIT_09s0002g07060"
100232953 "VFUL-L"
100249170 "VIT_01s0011g01800"
100250166 "VIT_06s0004g02370"
100254522 "VIT_08s0007g03620"
100250168 "CK203_031783"
100261177 "LOC100261177"
100262262 "LOC100262262"
100263230 "VIT_13s0019g02720"
100254408 "VIT_04s0008g05220"
100241694 "VIT_01s0026g01420"
100242540 "VIT_05s0020g04590"
100264793 "VIT_02s0087g00170"
104879799 "VIT_07s0005g01750"
100242424 "LOC100242424"
100241577 "VIT_01s0026g01550"
100241456 "VIT_18s0041g02170"
100241332 "VIT_01s0026g01950"
100267822 "VIT_15s0048g00790"
100267947 "LOC100267947"
100244724 "LOC100244724"
100267708 "VIT_02s0154g00070"
100247081 "TBA4"
100854850 "LOC100854850"
100232864 "MADS1"
100254974 "VIT_09s0002g00920"
100250496 "VIT_13s0047g00250"
100262479 "LOC100262479"
100253525 "LOC100253525"
100255705 "LOC100255705"
100262354 "VIT_03s0038g00670"
100254856 "VIT_09s0002g00540"
100252316 "LOC100252316"
100261021 "LOC100261021"
100249264 "LOC100249264"
100262472 "VIT_18s0001g12020"
100256916 "LOC100256916"
100264780 "VIT_16s0039g01910"
100259060 "VIT_04s0023g02650"
100259182 "VIT_12s0142g00340"
100266840 "VIT_04s0023g00310"
100265994 "VIT_11s0103g00120"
100266600 "VIT_12s0134g00560"
100243600 "LOC100243600"
100242879 "VIT_13s0084g00660"
100265998 "LOC100265998"
100265877 "LOC100265877"
100243967 "VIT_19s0027g00200"
100852555 "AOR_6"
100854742 "LOC100854742"
100251110 "LOC100251110"
100253895 "VIT_12s0028g03200"
100254622 "VIT_14s0060g01090"
100262249 "LOC100262249"
100261039 "VIT_01s0011g03610"
100256921 "APL_2"
100254744 "VIT_15s0021g02240"
100250386 "VIT_07s0005g02410"
100253534 "LOC100253534"
100249037 "LOC100249037"
100263214 "VIT_07s0151g01110"
100252568 "LOC100252568"
100249038 "LOC100249038"
100249159 "LOC100249159"
100261398 "LOC100261398"
100260186 "LOC100260186"
100263332 "LOC100263332"
100262242 "VIT_16s0098g01770"
100261394 "CK203_073499"
100255959 "VIT_01s0011g03010"
100259070 "VIT_18s0001g10800"
100244700 "VIT_09s0002g00960"
100264772 "NHX2_5"
100265985 "VIT_15s0048g01410"
100264776 "VIT_08s0007g03710"
100267800 "VIT_15s0048g01840"
100241317 "LOC100241317"
100854748 "LOC100854748"
100267928 "VIT_17s0000g01720"
100244826 "LOC100244826"
100255487 "VIT_08s0007g06700"
100255488 "VIT_10s0116g00500"
100255246 "LOC100255246"
100255002 "VIT_15s0046g02910"
100257549 "LOC100257549"
100257789 "LOC100257789"
100259602 "VIT_07s0104g00300"
100256457 "VIT_11s0052g01250"
100255369 "LOC100255369"
100245560 "LOC100245560"
109121449 "LOC109121449"
100243384 "LOC100243384"
100265053 "VIT_15s0021g01060"
100266024 "VIT_18s0001g13360"
100247745 "ABCG14"
100247624 "VIT_08s0007g03160"
100247503 "VIT_14s0108g01510"
100244116 "VIT_07s0129g00380"
100243023 "VIT_12s0134g00200"
100247984 "VIT_02s0025g02820"
100243269 "LOC100243269"
100245445 "VIT_18s0001g14100"
100253180 "VIT_10s0003g04020"
100252094 "LOC100252094"
100256693 "LOC100256693"
100261915 "LOC100261915"
100256223 "VIT_10s0092g00590"
100259979 "LOC100259979"
100255018 "VIT_00s0238g00020"
100260721 "VIT_19s0014g03190"
100256105 "LOC100256105"
100244240 "LOC100244240"
104882489 "LOC104882489"
100246662 "LOC100246662"
100245451 "VIT_18s0001g14980"
100242061 "LOC100242061"
100248968 "VIT_01s0010g03690"
100267585 "BHLH123_0"
100248966 "VIT_15s0024g00660"
100245459 "PSBO_1"
